,appid,genre
60,739630,"['3d', 'action', 'coop', 'dark', 'demons', 'detective', 'earlyaccess', 'firstperson', 'horror', 'indie', 'investigation', 'lovecraftian', 'multiplayer', 'mystery', 'onlinecoop', 'psychologicalhorror', 'supernatural', 'tactical', 'thriller', 'vr']"
61,502500,"['3d', 'action', 'arcade', 'cinematic', 'firstperson', 'flight', 'greatsoundtrack', 'jet', 'military', 'multiplayer', 'pvp', 'realistic', 'scifi', 'shooter', 'silentprotagonist', 'simulation', 'singleplayer', 'storyrich', 'thirdperson', 'war']"
62,1777620,"['anime', 'creaturecollector', 'cyberpunk', 'demons', 'femaleprotagonist', 'futuristic', 'greatsoundtrack', 'jrpg', 'mystery', 'noir', 'rpg', 'singleplayer', 'storyrich', 'turnbasedcombat', 'violent']"
63,255710,"['action', 'building', 'casual', 'citybuilder', 'economy', 'familyfriendly', 'funny', 'greatsoundtrack', 'management', 'mod', 'moddable', 'modern', 'realtimewithpause', 'realistic', 'replayvalue', 'resourcemanagement', 'sandbox', 'simulation', 'singleplayer', 'strategy']"
64,1096530,"['adventure', 'crpg', 'charactercustomization', 'choicesmatter', 'classbased', 'coop', 'coopcampaign', 'combat', 'dungeons&dragons', 'earlyaccess', 'fantasy', 'isometric', 'multiplayer', 'partybasedrpg', 'pve', 'rpg', 'singleplayer', 'stealth', 'storyrich', 'strategy', 'teambased']"
65,1462040,"['3d', '3dplatformer', 'action', 'actionrpg', 'actionadventure', 'adventure', 'cinematic', 'controller', 'drama', 'fantasy', 'jrpg', 'magic', 'partybasedrpg', 'rpg', 'realistic', 'scifi', 'singleplayer', 'spectaclefighter', 'storyrich', 'thirdperson']"
66,238960,"['action', 'actionrpg', 'adventure', 'charactercustomization', 'dungeoncrawler', 'fantasy', 'freetoplay', 'hackandslash', 'horror', 'indie', 'inventorymanagement', 'isometric', 'loot', 'mmorpg', 'massivelymultiplayer', 'multiplayer', 'onlinecoop', 'point&click', 'pvp', 'rpg', 'singleplayer']"
67,924970,"['action', 'adventure', 'blood', 'coop', 'fps', 'firstperson', 'gore', 'horror', 'multiplayer', 'onlinecoop', 'pve', 'pvp', 'replayvalue', 'roguelite', 'shooter', 'singleplayer', 'survival', 'survivalhorror', 'violent', 'zombies']"
68,686810,"['action', 'fps', 'firstperson', 'gore', 'historical', 'indie', 'massivelymultiplayer', 'mature', 'military', 'multiplayer', 'pvp', 'realistic', 'shooter', 'simulation', 'singleplayer', 'strategy', 'tactical', 'violent', 'war', 'worldwarii']"
69,1517290,"['action', 'adventure', 'casual', 'cinematic', 'combat', 'destruction', 'fps', 'firstperson', 'futuristic', 'heroshooter', 'military', 'modern', 'multiplayer', 'physics', 'pvp', 'shooter', 'singleplayer', 'teambased', 'vehicularcombat', 'war']"
